uid,iid,y,gender,age
1625,248,1.0,1,4
1625,249,1.0,1,4
1625,249,1.0,1,4
1625,250,1.0,1,4
1625,130,1.0,1,4
1625,173,1.0,1,4
1625,251,1.0,1,4
1625,252,1.0,1,4
1625,147,1.0,1,4
1625,126,1.0,1,4
1625,253,1.0,1,4
1625,254,1.0,1,4
1625,143,1.0,1,4
1625,255,1.0,1,4
1625,108,1.0,1,4
1625,256,1.0,1,4
1625,257,1.0,1,4
1625,258,1.0,1,4
1625,144,1.0,1,4
1625,259,1.0,1,4
1003,178,1.0,2,5
1003,320,1.0,2,5
1003,321,1.0,2,5
1003,322,1.0,2,5
1003,323,1.0,2,5
1003,324,1.0,2,5
1003,325,1.0,2,5
1003,326,1.0,2,5
1003,327,1.0,2,5
1822,270,1.0,1,1
1822,150,1.0,1,1
1822,193,1.0,1,1
1822,2,1.0,1,1
1822,192,1.0,1,1
1822,328,1.0,1,1
1822,274,1.0,1,1
1822,329,1.0,1,1
1822,115,1.0,1,1
1822,254,1.0,1,1
1822,201,1.0,1,1
1822,330,1.0,1,1
1822,331,1.0,1,1
1822,332,1.0,1,1
1822,333,1.0,1,1
1822,149,1.0,1,1
1822,118,1.0,1,1
1822,334,1.0,1,1
1822,335,1.0,1,1
1822,336,1.0,1,1
1135,445,1.0,1,6
1135,446,1.0,1,6
1135,126,1.0,1,6
1135,358,1.0,1,6
1135,112,1.0,1,6
1135,447,1.0,1,6
1135,448,1.0,1,6
1135,449,1.0,1,6
1135,450,1.0,1,6
1135,285,1.0,1,6
1135,51,1.0,1,6
1135,451,1.0,1,6
1135,452,1.0,1,6
1135,453,1.0,1,6
1135,333,1.0,1,6
1135,454,1.0,1,6
1135,271,1.0,1,6
1135,137,1.0,1,6
1135,366,1.0,1,6
1135,254,1.0,1,6
1135,455,1.0,1,6
1135,456,1.0,1,6
1135,276,1.0,1,6
1135,87,1.0,1,6
1135,71,1.0,1,6
1135,187,1.0,1,6
1135,286,1.0,1,6
1135,35,1.0,1,6
1135,237,1.0,1,6
1135,120,1.0,1,6
1135,406,1.0,1,6
1135,109,1.0,1,6
1135,106,1.0,1,6
1135,409,1.0,1,6
1135,457,1.0,1,6
1135,292,1.0,1,6
1135,145,1.0,1,6
1135,405,1.0,1,6
1135,458,1.0,1,6
1135,117,1.0,1,6
1135,459,1.0,1,6
1135,460,1.0,1,6
1135,461,1.0,1,6
727,210,1.0,1,5
727,493,1.0,1,5
727,494,1.0,1,5
727,495,1.0,1,5
727,496,1.0,1,5
727,72,1.0,1,5
727,134,1.0,1,5
727,497,1.0,1,5
727,498,1.0,1,5
727,499,1.0,1,5
727,500,1.0,1,5
727,501,1.0,1,5
727,10,1.0,1,5
727,351,1.0,1,5
727,483,1.0,1,5
727,21,1.0,1,5
727,502,1.0,1,5
727,503,1.0,1,5
727,504,1.0,1,5
1863,182,1.0,1,7
1863,17,1.0,1,7
1863,126,1.0,1,7
1863,25,1.0,1,7
1863,204,1.0,1,7
1863,471,1.0,1,7
1863,137,1.0,1,7
1863,524,1.0,1,7
1863,62,1.0,1,7
1863,187,1.0,1,7
1863,169,1.0,1,7
1863,343,1.0,1,7
1863,14,1.0,1,7
1863,525,1.0,1,7
1863,526,1.0,1,7
1863,527,1.0,1,7
1863,219,1.0,1,7
1863,528,1.0,1,7
1695,220,1.0,2,7
1695,297,1.0,2,7
1695,130,1.0,2,7
1695,504,1.0,2,7
1695,14,1.0,2,7
1695,312,1.0,2,7
1695,181,1.0,2,7
1695,82,1.0,2,7
1695,5,1.0,2,7
1695,46,1.0,2,7
1695,106,1.0,2,7
1695,115,1.0,2,7
1695,294,1.0,2,7
1969,346,1.0,1,7
1969,541,1.0,1,7
1969,127,1.0,1,7
1969,135,1.0,1,7
1969,283,1.0,1,7
1969,464,1.0,1,7
1969,365,1.0,1,7
1969,168,1.0,1,7
1189,563,1.0,1,5
1189,173,1.0,1,5
1189,14,1.0,1,5
1189,150,1.0,1,5
1189,119,1.0,1,5
1189,228,1.0,1,5
1189,298,1.0,1,5
1189,287,1.0,1,5
1189,180,1.0,1,5
1235,564,1.0,1,6
1235,565,1.0,1,6
1235,414,1.0,1,6
1235,133,1.0,1,6
1235,566,1.0,1,6
1235,206,1.0,1,6
1235,211,1.0,1,6
1235,374,1.0,1,6
1235,298,1.0,1,6
1235,153,1.0,1,6
1235,170,1.0,1,6
1235,194,1.0,1,6
1235,204,1.0,1,6
1235,567,1.0,1,6
1235,403,1.0,1,6
1235,568,1.0,1,6
1235,569,1.0,1,6
1235,570,1.0,1,6
1235,407,1.0,1,6
1235,571,1.0,1,6
1235,572,1.0,1,6
1235,573,1.0,1,6
1235,574,1.0,1,6
2146,575,1.0,1,5
2146,576,1.0,1,5
2146,178,1.0,1,5
2146,577,1.0,1,5
2146,578,1.0,1,5
2146,73,1.0,1,5
2146,561,1.0,1,5
2146,145,1.0,1,5
2146,174,1.0,1,5
2146,579,1.0,1,5
2146,580,1.0,1,5
2146,581,1.0,1,5
1281,360,1.0,1,5
1281,517,1.0,1,5
1281,249,1.0,1,5
1281,249,1.0,1,5
1281,14,1.0,1,5
1281,249,1.0,1,5
65,703,1.0,2,5
65,704,1.0,2,5
65,705,1.0,2,5
65,166,1.0,2,5
65,706,1.0,2,5
65,707,1.0,2,5
65,340,1.0,2,5
65,708,1.0,2,5
65,709,1.0,2,5
65,439,1.0,2,5
65,710,1.0,2,5
65,426,1.0,2,5
65,711,1.0,2,5
65,260,1.0,2,5
65,423,1.0,2,5
65,194,1.0,2,5
65,236,1.0,2,5
65,712,1.0,2,5
65,115,1.0,2,5
65,713,1.0,2,5
65,417,1.0,2,5
65,294,1.0,2,5
65,714,1.0,2,5
65,518,1.0,2,5
65,715,1.0,2,5
65,716,1.0,2,5
65,702,1.0,2,5
65,717,1.0,2,5
744,288,1.0,1,7
744,270,1.0,1,7
744,621,1.0,1,7
744,249,1.0,1,7
744,251,1.0,1,7
744,462,1.0,1,7
744,249,1.0,1,7
948,14,1.0,1,5
948,140,1.0,1,5
948,432,1.0,1,5
948,378,1.0,1,5
948,228,1.0,1,5
948,287,1.0,1,5
948,395,1.0,1,5
948,343,1.0,1,5
948,297,1.0,1,5
948,533,1.0,1,5
948,56,1.0,1,5
948,465,1.0,1,5
948,421,1.0,1,5
948,605,1.0,1,5
948,521,1.0,1,5
948,162,1.0,1,5
948,122,1.0,1,5
948,110,1.0,1,5
948,185,1.0,1,5
948,153,1.0,1,5
948,731,1.0,1,5
948,112,1.0,1,5
948,201,1.0,1,5
948,255,1.0,1,5
948,51,1.0,1,5
948,807,1.0,1,5
948,808,1.0,1,5
948,259,1.0,1,5
948,809,1.0,1,5
948,190,1.0,1,5
948,614,1.0,1,5
948,810,1.0,1,5
1021,273,1.0,2,7
1021,812,1.0,2,7
1021,288,1.0,2,7
1021,103,1.0,2,7
1021,813,1.0,2,7
1021,298,1.0,2,7
1021,285,1.0,2,7
1021,179,1.0,2,7
1021,148,1.0,2,7
1021,112,1.0,2,7
1021,445,1.0,2,7
1021,777,1.0,2,7
1021,187,1.0,2,7
1021,390,1.0,2,7
1021,319,1.0,2,7
1021,814,1.0,2,7
1021,815,1.0,2,7
1021,482,1.0,2,7
1021,816,1.0,2,7
1021,116,1.0,2,7
1021,817,1.0,2,7
1021,324,1.0,2,7
1021,752,1.0,2,7
1021,818,1.0,2,7
1021,819,1.0,2,7
1021,820,1.0,2,7
1021,821,1.0,2,7
1021,822,1.0,2,7
1021,91,1.0,2,7
1021,823,1.0,2,7
1021,824,1.0,2,7
1021,766,1.0,2,7
1021,306,1.0,2,7
1021,825,1.0,2,7
1021,826,1.0,2,7
1021,827,1.0,2,7
1021,530,1.0,2,7
1021,828,1.0,2,7
1116,135,1.0,1,7
1116,422,1.0,1,7
1116,14,1.0,1,7
1116,121,1.0,1,7
1116,120,1.0,1,7
1116,150,1.0,1,7
1116,533,1.0,1,7
1116,197,1.0,1,7
1116,146,1.0,1,7
1116,844,1.0,1,7
1116,547,1.0,1,7
1116,581,1.0,1,7
1116,264,1.0,1,7
599,123,1.0,1,6
599,260,1.0,1,6
599,730,1.0,1,6
599,64,1.0,1,6
599,881,1.0,1,6
599,882,1.0,1,6
599,276,1.0,1,6
599,187,1.0,1,6
599,883,1.0,1,6
599,884,1.0,1,6
599,383,1.0,1,6
599,885,1.0,1,6
599,249,1.0,1,6
599,816,1.0,1,6
599,282,1.0,1,6
599,178,1.0,1,6
599,799,1.0,1,6
599,554,1.0,1,6
599,14,1.0,1,6
599,210,1.0,1,6
599,357,1.0,1,6
599,601,1.0,1,6
599,886,1.0,1,6
599,204,1.0,1,6
599,732,1.0,1,6
599,887,1.0,1,6
599,526,1.0,1,6
599,296,1.0,1,6
599,140,1.0,1,6
599,839,1.0,1,6
599,148,1.0,1,6
599,1,1.0,1,6
599,138,1.0,1,6
599,563,1.0,1,6
599,848,1.0,1,6
599,888,1.0,1,6
599,889,1.0,1,6
599,455,1.0,1,6
599,272,1.0,1,6
599,432,1.0,1,6
599,890,1.0,1,6
599,462,1.0,1,6
599,6,1.0,1,6
599,62,1.0,1,6
599,22,1.0,1,6
599,891,1.0,1,6
599,359,1.0,1,6
599,175,1.0,1,6
599,497,1.0,1,6
599,51,1.0,1,6
599,801,1.0,1,6
599,536,1.0,1,6
599,892,1.0,1,6
599,453,1.0,1,6
599,893,1.0,1,6
599,318,1.0,1,6
599,894,1.0,1,6
599,723,1.0,1,6
599,249,1.0,1,6
599,895,1.0,1,6
599,896,1.0,1,6
599,808,1.0,1,6
599,129,1.0,1,6
599,897,1.0,1,6
599,487,1.0,1,6
599,619,1.0,1,6
599,898,1.0,1,6
599,899,1.0,1,6
599,900,1.0,1,6
599,901,1.0,1,6
599,902,1.0,1,6
599,532,1.0,1,6
599,471,1.0,1,6
599,903,1.0,1,6
599,904,1.0,1,6
599,299,1.0,1,6
599,249,1.0,1,6
599,905,1.0,1,6
599,122,1.0,1,6
599,906,1.0,1,6
599,907,1.0,1,6
599,177,1.0,1,6
599,519,1.0,1,6
599,908,1.0,1,6
599,909,1.0,1,6
599,910,1.0,1,6
599,585,1.0,1,6
599,858,1.0,1,6
599,911,1.0,1,6
599,333,1.0,1,6
599,313,1.0,1,6
599,535,1.0,1,6
599,912,1.0,1,6
599,324,1.0,1,6
599,137,1.0,1,6
599,913,1.0,1,6
599,376,1.0,1,6
599,914,1.0,1,6
599,915,1.0,1,6
599,303,1.0,1,6
599,262,1.0,1,6
599,211,1.0,1,6
599,548,1.0,1,6
599,433,1.0,1,6
599,384,1.0,1,6
599,386,1.0,1,6
599,829,1.0,1,6
599,610,1.0,1,6
599,916,1.0,1,6
599,917,1.0,1,6
599,405,1.0,1,6
599,918,1.0,1,6
599,919,1.0,1,6
599,920,1.0,1,6
599,921,1.0,1,6
599,922,1.0,1,6
599,923,1.0,1,6
599,924,1.0,1,6
599,925,1.0,1,6
599,926,1.0,1,6
599,927,1.0,1,6
599,21,1.0,1,6
599,928,1.0,1,6
599,929,1.0,1,6
599,930,1.0,1,6
599,249,1.0,1,6
599,931,1.0,1,6
599,932,1.0,1,6
599,933,1.0,1,6
599,934,1.0,1,6
599,935,1.0,1,6
599,854,1.0,1,6
599,242,1.0,1,6
599,936,1.0,1,6
599,937,1.0,1,6
599,298,1.0,1,6
599,938,1.0,1,6
599,34,1.0,1,6
599,939,1.0,1,6
599,552,1.0,1,6
599,940,1.0,1,6
599,21,1.0,1,6
599,941,1.0,1,6
599,942,1.0,1,6
599,789,1.0,1,6
599,943,1.0,1,6
599,944,1.0,1,6
599,945,1.0,1,6
599,946,1.0,1,6
599,225,1.0,1,6
599,700,1.0,1,6
599,118,1.0,1,6
599,104,1.0,1,6
599,947,1.0,1,6
599,948,1.0,1,6
599,949,1.0,1,6
599,950,1.0,1,6
599,951,1.0,1,6
599,952,1.0,1,6
599,236,1.0,1,6
599,298,1.0,1,6
599,953,1.0,1,6
599,954,1.0,1,6
599,955,1.0,1,6
599,956,1.0,1,6
599,957,1.0,1,6
599,958,1.0,1,6
599,559,1.0,1,6
599,959,1.0,1,6
599,960,1.0,1,6
599,961,1.0,1,6
599,962,1.0,1,6
599,963,1.0,1,6
599,795,1.0,1,6
599,964,1.0,1,6
599,55,1.0,1,6
599,965,1.0,1,6
599,760,1.0,1,6
599,966,1.0,1,6
599,967,1.0,1,6
599,249,1.0,1,6
599,968,1.0,1,6
599,736,1.0,1,6
599,969,1.0,1,6
599,292,1.0,1,6
599,553,1.0,1,6
599,557,1.0,1,6
599,970,1.0,1,6
599,971,1.0,1,6
599,417,1.0,1,6
599,972,1.0,1,6
599,973,1.0,1,6
599,974,1.0,1,6
599,975,1.0,1,6
599,976,1.0,1,6
599,977,1.0,1,6
599,978,1.0,1,6
599,164,1.0,1,6
599,979,1.0,1,6
